Customer_ID,Age,Purchase_Date,Product_Category,Purchase_Amount,Quantity,Discount_Percentage,Shipping_Days,Customer_Satisfaction,Return_Status,Payment_Method,Region
1360,53,25-02-24,Sports,53.26,5,15,16,3,Not Returned,Credit Card,West
1017,22,11-08-23,Home,40.92,3,0,28,1,Not Returned,Credit Card,East
1386,55,09-08-24,Books,171.21,8,20,12,2,Not Returned,Debit Card,Central
1259,61,21-02-24,Clothing,28.03,2,20,,5,Not Returned,Credit Card,West
1032,35,05-05-23,Clothing,201.51,9,10,9,5,Not Returned,Credit Card,West
1009,65,14-03-24,Clothing,35.04,3,5,10,5,Not Returned,PayPal,South
1458,59,09-12-23,Sports,61.31,8,15,28,1,In Process,PayPal,East
1424,59,27-12-23,Electronics,47.95,9,25,16,4,Not Returned,UPI,Central
1206,,07-01-23,Clothing,197.71,2,15,15,1,Returned,Credit Card,West
1095,71,16-07-24,Electronics,63.61,7,10,22,5,Not Returned,UPI,East
1111,68,31-07-23,Electronics,25.54,4,5,26,3,Not Returned,PayPal,North
1069,,24-02-23,Electronics,21.58,7,15,29,5,Not Returned,PayPal,South
1006,37,24-04-23,Home,67.98,3,15,26,,Not Returned,PayPal,East
1431,31,15-04-23,Sports,63.18,6,20,22,5,Not Returned,PayPal,East
1304,28,10-04-24,Clothing,122.3,8,0,4,5,Not Returned,Debit Card,West
1260,42,12-03-23,Clothing,235.74,9,10,3,4,Not Returned,Credit Card,South
1306,48,13-12-24,Electronics,61.85,7,0,27,1,Not Returned,Debit Card,Central
1207,73,16-03-23,Sports,29.98,6,10,5,2,Not Returned,UPI,Central
1329,,03-11-23,Books,23.8,4,10,6,1,Not Returned,UPI,South
1305,47,14-06-24,Clothing,96.25,5,25,13,5,Not Returned,UPI,North
1339,68,13-12-23,Electronics,40.87,7,0,25,3,Not Returned,UPI,West
1245,52,12-01-23,Electronics,121.35,3,25,2,5,Not Returned,Credit Card,South
1215,25,03-06-24,Sports,921.86,3,0,4,1,In Process,Credit Card,Central
1282,59,04-09-23,Sports,78.98,4,20,25,5,Not Returned,UPI,South
1174,44,15-06-23,Clothing,23.75,6,0,29,5,In Process,Debit Card,West
1315,54,02-09-24,Books,48.6,1,0,24,2,Returned,PayPal,Central
1434,55,15-03-23,Home,24.48,1,25,13,1,Not Returned,PayPal,West
1112,56,28-04-23,Clothing,33.86,7,5,12,4,Not Returned,Debit Card,West
1059,20,03-02-23,Home,163.78,3,10,28,2,Not Returned,Debit Card,North
1021,27,22-03-24,Clothing,158.41,9,15,13,4,Not Returned,Credit Card,North
1321,37,05-02-24,Clothing,42.82,4,0,15,3,Not Returned,PayPal,North
1336,28,30-01-23,Electronics,56.6,4,20,6,1,Not Returned,UPI,South
1126,55,08-11-23,Books,45.29,1,10,6,3,Not Returned,UPI,West
1001,71,01-10-23,Sports,105.18,5,0,29,1,Not Returned,Credit Card,Central
1379,54,17-08-24,Electronics,34.82,4,5,21,3,Not Returned,PayPal,Central
1005,70,24-04-23,Home,36.92,2,15,,4,Not Returned,UPI,Central
1410,58,08-03-23,Books,32.21,5,10,18,1,Not Returned,PayPal,East
1281,36,11-10-24,Books,29.75,5,0,25,2,Not Returned,UPI,South
1456,68,26-12-23,Clothing,51.29,6,0,4,2,Not Returned,UPI,Central
1365,23,18-11-24,Books,58.74,7,25,17,1,Not Returned,Debit Card,Central
